Costo Total,Proveedor,Modelo,Nivel Servicio,z,Nivel Servicio Num,Costo Total Num
310577,1,0,"0,983","1,64",0.983,310577
299796,2,0,"0,999","1,64",0.999,299796
272584,1,0,"0,974","1,64",0.974,272584
"266193,4",0,0,"0,966","1,64",0.966,266193.4
"350331,6",0,0,"0,972","1,64",0.972,350331.6
"375965,5",2,0,"1,000","1,64",1.000,375965.5
"310650,4",0,0,"0,983","1,64",0.983,310650.4
347756,1,0,"0,980","1,64",0.980,347756
447408,2,0,"1,000","1,64",1.000,447408
"392476,8",0,0,"0,977","1,64",0.977,392476.8
388196,1,0,"0,982","1,64",0.982,388196
431705,1,0,"0,962","1,64",0.962,431705
528760,2,0,"0,995","1,64",0.995,528760
"593546,5",2,0,"0,999","1,64",0.999,593546.5
467773,1,0,"0,984","1,64",0.984,467773
649674,2,0,"0,997","1,64",0.997,649674
"440153,2",0,0,"0,974","1,64",0.974,440153.2
"475690,8",0,0,"0,973","1,64",0.973,475690.8
762541,2,0,"0,999","1,64",0.999,762541
508802,1,0,"0,973","1,64",0.973,508802
516821,0,0,"0,979","1,64",0.979,516821
"562192,8",0,0,"0,975","1,64",0.975,562192.8
"619120,2",0,0,"0,984","1,64",0.984,619120.2
560794,1,0,"0,976","1,64",0.976,560794
582416,1,0,"0,972","1,64",0.972,582416
"834516,5",2,0,"1,000","1,64",1.000,834516.5
"664061,6",0,0,"0,985","1,64",0.985,664061.6
626210,1,0,"0,984","1,64",0.984,626210
"889688,5",2,0,"0,996","1,64",0.996,889688.5
"667868,4",0,0,"0,971","1,64",0.971,667868.4
"1038247,5",2,0,"0,997","1,64",0.997,1038247.5
963311,2,0,"0,999","1,64",0.999,963311
695102,1,0,"0,991","1,64",0.991,695102
"748442,4",0,0,"0,983","1,64",0.983,748442.4
755029,0,0,"0,981","1,64",0.981,755029
"1055549,5",2,0,"0,996","1,64",0.996,1055549.5
731848,1,0,"0,967","1,64",0.967,731848
698632,1,0,"0,975","1,64",0.975,698632
"1114890,5",2,0,"0,988","1,64",0.988,1114890.5
"795707,6",0,0,"0,965","1,64",0.965,795707.6
778959,1,0,"0,974","1,64",0.974,778959
1178718,2,0,"0,999","1,64",0.999,1178718
852515,1,0,"0,990","1,64",0.990,852515
"1346112,5",2,0,"1,000","1,64",1.000,1346112.5
"855895,8",0,0,"0,973","1,64",0.973,855895.8
"881735,2",0,0,"0,974","1,64",0.974,881735.2
863368,1,0,"0,978","1,64",0.978,863368
"1377121,5",2,0,"1,000","1,64",1.000,1377121.5
990750,0,0,"0,985","1,64",0.985,990750
931729,1,0,"0,981","1,64",0.981,931729
"1442592,5",2,0,"0,997","1,64",0.997,1442592.5
"935454,6",0,0,"0,972","1,64",0.972,935454.6
"1561596,5",2,0,"0,999","1,64",0.999,1561596.5
923148,1,0,"0,976","1,64",0.976,923148
1070656,0,0,"0,987","1,64",0.987,1070656
1049360,1,0,"0,968","1,64",0.968,1049360
996455,1,0,"0,976","1,64",0.976,996455
"1619996,5",2,0,"0,992","1,64",0.992,1619996.5
"1638791,5",2,0,"0,998","1,64",0.998,1638791.5
"1028942,4",0,0,"0,978","1,64",0.978,1028942.4
"1173102,2",0,0,"0,983","1,64",0.983,1173102.2
1679823,2,0,"0,993","1,64",0.993,1679823
1203684,0,0,"0,973","1,64",0.973,1203684
1099747,1,0,"0,984","1,64",0.984,1099747
"1955421,5",2,0,"0,997","1,64",0.997,1955421.5
1056543,1,0,"0,979","1,64",0.979,1056543
"1159925,2",0,0,"0,973","1,64",0.973,1159925.2
"1934773,5",2,0,"0,993","1,64",0.993,1934773.5
2026673,2,0,"1,000","1,64",1.000,2026673
1380441,0,0,"0,977","1,64",0.977,1380441
1131058,1,0,"0,968","1,64",0.968,1131058
1213895,1,0,"0,977","1,64",0.977,1213895
1137172,1,0,"0,984","1,64",0.984,1137172
"1202898,4",0,0,"0,978","1,64",0.978,1202898.4
2076656,2,0,"0,996","1,64",0.996,2076656
"1314382,8",0,0,"0,979","1,64",0.979,1314382.8
2206070,2,0,"1,000","1,64",1.000,2206070
"2073871,5",2,0,"0,997","1,64",0.997,2073871.5
1396244,0,0,"0,969","1,64",0.969,1396244
1340053,1,0,"0,978","1,64",0.978,1340053
1251218,1,0,"0,973","1,64",0.973,1251218
2329887,2,0,"1,000","1,64",1.000,2329887
"1299918,2",0,0,"0,968","1,64",0.968,1299918.2
"1386951,2",0,0,"0,974","1,64",0.974,1386951.2
1279113,1,0,"0,979","1,64",0.979,1279113
1368667,1,0,"0,984","1,64",0.984,1368667
1418355,1,0,"0,986","1,64",0.986,1418355
"1517097,2",0,0,"0,984","1,64",0.984,1517097.2
1439871,0,0,"0,966","1,64",0.966,1439871
2495654,2,0,"0,998","1,64",0.998,2495654
"2398600,5",2,0,"0,998","1,64",0.998,2398600.5
1457488,1,0,"0,978","1,64",0.978,1457488
2371000,2,0,"0,992","1,64",0.992,2371000
"1494409,6",0,0,"0,967","1,64",0.967,1494409.6
2773998,2,0,"0,997","1,64",0.997,2773998
1506675,1,0,"0,983","1,64",0.983,1506675
