CT,Proveedor,Modelo,zServicio,z,CostoTotal/VentasTotales,,
602907,2,0,"0,992","1,64",602907,"0,992",602907
"267392,4",0,0,"0,966","1,64","267392,4","0,966",267392.4
"439531,6",0,0,"0,972","1,64","439531,6","0,972",439531.6
"479278,8",0,0,"0,974","1,64","479278,8","0,974",479278.8
428490,1,0,"0,974","1,64",428490,"0,974",428490
298719,2,0,"0,996","1,64",298719,"0,996",298719
270182,1,0,"0,972","1,64",270182,"0,972",270182
"509574,5",2,0,"0,994","1,64","509574,5","0,994",509574.5
398516,0,0,"0,967","1,64",398516,"0,967",398516
"457423,5",2,0,"0,997","1,64","457423,5","0,997",457423.5
352927,1,0,"0,984","1,64",352927,"0,984",352927
"352839,4",0,0,"0,968","1,64","352839,4","0,968",352839.4
372421,2,0,"0,995","1,64",372421,"0,995",372421
310365,1,0,"0,973","1,64",310365,"0,973",310365
390654,1,0,"0,976","1,64",390654,"0,976",390654
"310937,6",0,0,"0,968","1,64","310937,6","0,968",310937.6
464849,1,0,"0,973","1,64",464849,"0,973",464849
"656360,5",2,0,"0,995","1,64","656360,5","0,995",656360.5
"549694,2",0,0,"0,979","1,64","549694,2","0,979",549694.2
"577577,6",0,0,"0,981","1,64","577577,6","0,981",577577.6
506271,1,0,"0,975","1,64",506271,"0,975",506271
554275,1,0,"0,973","1,64",554275,"0,973",554275
729264,2,0,"0,995","1,64",729264,"0,995",729264
807779,2,0,"0,994","1,64",807779,"0,994",807779
"603140,4",0,0,"0,959","1,64","603140,4","0,959",603140.4
602444,1,0,"0,977","1,64",602444,"0,977",602444
"659263,2",0,0,"0,969","1,64","659263,2","0,969",659263.2
"851242,5",2,0,"0,999","1,64","851242,5","0,999",851242.5
922081,2,0,"0,995","1,64",922081,"0,995",922081
630550,1,0,"0,975","1,64",630550,"0,975",630550
683433,1,0,"0,988","1,64",683433,"0,988",683433
"674522,6",0,0,"0,970","1,64","674522,6","0,970",674522.6
1054007,2,0,"0,998","1,64",1054007,"0,998",1054007
"727310,4",0,0,"0,972","1,64","727310,4","0,972",727310.4
719566,1,0,"0,976","1,64",719566,"0,976",719566
"1032218,5",2,0,"0,995","1,64","1032218,5","0,995",1032218.5
750800,0,0,"0,970","1,64",750800,"0,970",750800
735951,1,0,"0,967","1,64",735951,"0,967",735951
"789540,8",0,0,"0,972","1,64","789540,8","0,972",789540.8
1220565,2,0,"0,993","1,64",1220565,"0,993",1220565
774048,1,0,"0,971","1,64",774048,"0,971",774048
1261305,2,0,"0,997","1,64",1261305,"0,997",1261305
818635,1,0,"0,972","1,64",818635,"0,972",818635
"894649,8",0,0,"0,980","1,64","894649,8","0,980",894649.8
